stem,group,split,class_id,class_name,jpeg_src,label_src
onion_sample_014_v2,onion_sample_014,train,0,HEALTHY,data/raw/healthy/onion_sample_014_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_014_v2.txt
onion_sample_014_v3,onion_sample_014,train,0,HEALTHY,data/raw/healthy/onion_sample_014_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_014_v3.txt
onion_sample_014_v4,onion_sample_014,train,0,HEALTHY,data/raw/healthy/onion_sample_014_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_014_v4.txt
onion_sample_015_v1,onion_sample_015,train,0,HEALTHY,data/raw/healthy/onion_sample_015_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_015_v1.txt
onion_sample_015_v2,onion_sample_015,train,0,HEALTHY,data/raw/healthy/onion_sample_015_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_015_v2.txt
onion_sample_015_v3,onion_sample_015,train,0,HEALTHY,data/raw/healthy/onion_sample_015_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_015_v3.txt
onion_sample_015_v4,onion_sample_015,train,0,HEALTHY,data/raw/healthy/onion_sample_015_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_015_v4.txt
onion_sample_017_v1,onion_sample_017,train,0,HEALTHY,data/raw/healthy/onion_sample_017_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_017_v1.txt
onion_sample_017_v2,onion_sample_017,train,0,HEALTHY,data/raw/healthy/onion_sample_017_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_017_v2.txt
onion_sample_017_v3,onion_sample_017,train,0,HEALTHY,data/raw/healthy/onion_sample_017_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_017_v3.txt
onion_sample_017_v4,onion_sample_017,train,0,HEALTHY,data/raw/healthy/onion_sample_017_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_017_v4.txt
onion_sample_018_v1,onion_sample_018,train,0,HEALTHY,data/raw/healthy/onion_sample_018_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_018_v1.txt
onion_sample_018_v2,onion_sample_018,train,0,HEALTHY,data/raw/healthy/onion_sample_018_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_018_v2.txt
onion_sample_018_v3,onion_sample_018,train,0,HEALTHY,data/raw/healthy/onion_sample_018_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_018_v3.txt
onion_sample_018_v4,onion_sample_018,train,0,HEALTHY,data/raw/healthy/onion_sample_018_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_018_v4.txt
onion_sample_020_v1,onion_sample_020,train,0,HEALTHY,data/raw/healthy/onion_sample_020_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_020_v1.txt
onion_sample_020_v2,onion_sample_020,train,0,HEALTHY,data/raw/healthy/onion_sample_020_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_020_v2.txt
onion_sample_020_v3,onion_sample_020,train,0,HEALTHY,data/raw/healthy/onion_sample_020_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_020_v3.txt
onion_sample_020_v4,onion_sample_020,train,0,HEALTHY,data/raw/healthy/onion_sample_020_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_020_v4.txt
onion_sample_021_v1,onion_sample_021,train,0,HEALTHY,data/raw/healthy/onion_sample_021_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_021_v1.txt
onion_sample_021_v2,onion_sample_021,train,0,HEALTHY,data/raw/healthy/onion_sample_021_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_021_v2.txt
onion_sample_021_v3,onion_sample_021,train,0,HEALTHY,data/raw/healthy/onion_sample_021_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_021_v3.txt
onion_sample_021_v4,onion_sample_021,train,0,HEALTHY,data/raw/healthy/onion_sample_021_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_021_v4.txt
onion_sample_024_v1,onion_sample_024,train,0,HEALTHY,data/raw/healthy/onion_sample_024_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_024_v1.txt
onion_sample_024_v2,onion_sample_024,train,0,HEALTHY,data/raw/healthy/onion_sample_024_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_024_v2.txt
onion_sample_024_v3,onion_sample_024,train,0,HEALTHY,data/raw/healthy/onion_sample_024_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_024_v3.txt
onion_sample_024_v4,onion_sample_024,train,0,HEALTHY,data/raw/healthy/onion_sample_024_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_024_v4.txt
onion_sample_025_v1,onion_sample_025,train,0,HEALTHY,data/raw/healthy/onion_sample_025_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_025_v1.txt
onion_sample_025_v2,onion_sample_025,train,0,HEALTHY,data/raw/healthy/onion_sample_025_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_025_v2.txt
onion_sample_025_v3,onion_sample_025,train,0,HEALTHY,data/raw/healthy/onion_sample_025_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_025_v3.txt
onion_sample_025_v4,onion_sample_025,train,0,HEALTHY,data/raw/healthy/onion_sample_025_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_025_v4.txt
onion_sample_026_v1,onion_sample_026,train,0,HEALTHY,data/raw/healthy/onion_sample_026_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_026_v1.txt
onion_sample_026_v2,onion_sample_026,train,0,HEALTHY,data/raw/healthy/onion_sample_026_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_026_v2.txt
onion_sample_026_v3,onion_sample_026,train,0,HEALTHY,data/raw/healthy/onion_sample_026_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_026_v3.txt
onion_sample_026_v4,onion_sample_026,train,0,HEALTHY,data/raw/healthy/onion_sample_026_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_026_v4.txt
onion_sample_027_v1,onion_sample_027,train,0,HEALTHY,data/raw/healthy/onion_sample_027_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_027_v1.txt
onion_sample_027_v2,onion_sample_027,train,0,HEALTHY,data/raw/healthy/onion_sample_027_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_027_v2.txt
onion_sample_027_v3,onion_sample_027,train,0,HEALTHY,data/raw/healthy/onion_sample_027_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_027_v3.txt
onion_sample_027_v4,onion_sample_027,train,0,HEALTHY,data/raw/healthy/onion_sample_027_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_027_v4.txt
onion_sample_029_v1,onion_sample_029,train,0,HEALTHY,data/raw/healthy/onion_sample_029_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_029_v1.txt
onion_sample_029_v2,onion_sample_029,train,0,HEALTHY,data/raw/healthy/onion_sample_029_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_029_v2.txt
onion_sample_029_v3,onion_sample_029,train,0,HEALTHY,data/raw/healthy/onion_sample_029_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_029_v3.txt
onion_sample_029_v4,onion_sample_029,train,0,HEALTHY,data/raw/healthy/onion_sample_029_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_029_v4.txt
onion_sample_031_v1,onion_sample_031,train,0,HEALTHY,data/raw/healthy/onion_sample_031_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_031_v1.txt
onion_sample_031_v2,onion_sample_031,train,0,HEALTHY,data/raw/healthy/onion_sample_031_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_031_v2.txt
onion_sample_031_v3,onion_sample_031,train,0,HEALTHY,data/raw/healthy/onion_sample_031_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_031_v3.txt
onion_sample_033_v1,onion_sample_033,train,0,HEALTHY,data/raw/healthy/onion_sample_033_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_033_v1.txt
onion_sample_033_v2,onion_sample_033,train,0,HEALTHY,data/raw/healthy/onion_sample_033_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_033_v2.txt
onion_sample_033_v3,onion_sample_033,train,0,HEALTHY,data/raw/healthy/onion_sample_033_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_033_v3.txt
onion_sample_033_v4,onion_sample_033,train,0,HEALTHY,data/raw/healthy/onion_sample_033_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_033_v4.txt
onion_sample_035_v1,onion_sample_035,train,0,HEALTHY,data/raw/damaged/onion_sample_035_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_035_v1.txt
onion_sample_d_001_v1,onion_sample_d_001,train,1,DAMAGED,data/raw/damaged/onion_sample_d_001_v1.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_001_v1.txt
onion_sample_d_001_v2,onion_sample_d_001,train,1,DAMAGED,data/raw/damaged/onion_sample_d_001_v2.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_001_v2.txt
onion_sample_d_001_v3,onion_sample_d_001,train,1,DAMAGED,data/raw/damaged/onion_sample_d_001_v3.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_001_v3.txt
onion_sample_d_001_v4,onion_sample_d_001,train,1,DAMAGED,data/raw/damaged/onion_sample_d_001_v4.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_001_v4.txt
onion_sample_d_004_v1,onion_sample_d_004,train,1,DAMAGED,data/raw/damaged/onion_sample_d_004_v1.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_004_v1.txt
onion_sample_d_004_v2,onion_sample_d_004,train,1,DAMAGED,data/raw/damaged/onion_sample_d_004_v2.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_004_v2.txt
onion_sample_d_004_v3,onion_sample_d_004,train,1,DAMAGED,data/raw/damaged/onion_sample_d_004_v3.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_004_v3.txt
onion_sample_d_004_v4,onion_sample_d_004,train,1,DAMAGED,data/raw/damaged/onion_sample_d_004_v4.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_004_v4.txt
onion_sample_d_005_v3,onion_sample_d_005,test,1,DAMAGED,data/raw/damaged/onion_sample_d_005_v3.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_005_v3.txt
onion_sample_d_005_v4,onion_sample_d_005,test,1,DAMAGED,data/raw/damaged/onion_sample_d_005_v4.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_005_v4.txt
onion_sample_d_007_v3,onion_sample_d_007,train,1,DAMAGED,data/raw/damaged/onion_sample_d_007_v3.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_007_v3.txt
onion_sample_d_008_v1,onion_sample_d_008,train,1,DAMAGED,data/raw/damaged/onion_sample_d_008_v1.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_008_v1.txt
onion_sample_d_008_v2,onion_sample_d_008,train,1,DAMAGED,data/raw/damaged/onion_sample_d_008_v2.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_008_v2.txt
onion_sample_d_011_v1,onion_sample_d_011,train,1,DAMAGED,data/raw/damaged/onion_sample_d_011_v1.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_011_v1.txt
onion_sample_d_011_v2,onion_sample_d_011,train,1,DAMAGED,data/raw/damaged/onion_sample_d_011_v2.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_011_v2.txt
onion_sample_d_011_v3,onion_sample_d_011,train,1,DAMAGED,data/raw/damaged/onion_sample_d_011_v3.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_011_v3.txt
onion_sample_d_013_v4,onion_sample_d_013,train,1,DAMAGED,data/raw/damaged/onion_sample_d_013_v4.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_013_v4.txt
onion_sample_d_015_v1,onion_sample_d_015,train,1,DAMAGED,data/raw/damaged/onion_sample_d_015_v1.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_015_v1.txt
onion_sample_d_015_v2,onion_sample_d_015,train,1,DAMAGED,data/raw/damaged/onion_sample_d_015_v2.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_015_v2.txt
onion_sample_d_015_v3,onion_sample_d_015,train,1,DAMAGED,data/raw/damaged/onion_sample_d_015_v3.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_015_v3.txt
onion_sample_d_015_v4,onion_sample_d_015,train,1,DAMAGED,data/raw/damaged/onion_sample_d_015_v4.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_015_v4.txt
onion_sample_d_016_v1,onion_sample_d_016,train,1,DAMAGED,data/raw/damaged/onion_sample_d_016_v1.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_016_v1.txt
onion_sample_d_016_v2,onion_sample_d_016,train,1,DAMAGED,data/raw/damaged/onion_sample_d_016_v2.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_016_v2.txt
onion_sample_d_016_v3,onion_sample_d_016,train,1,DAMAGED,data/raw/damaged/onion_sample_d_016_v3.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_016_v3.txt
onion_sample_d_016_v4,onion_sample_d_016,train,1,DAMAGED,data/raw/damaged/onion_sample_d_016_v4.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_016_v4.txt
