stem,group,split,class_id,class_name,source,image_src,label_src,image_sha256
onion_sample_r_011_v3,onion_sample_r_011,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_011_v3.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_011_v3.txt,0e8b1131b6aaf037035e43e6844d6e10cdba313e9abcf2603b2c6fc929fe3a61
onion_sample_r_017_v1,onion_sample_r_017,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_017_v1.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_017_v1.txt,72eacf7e1739d7e6f46afd3ddaf493e1cf4bdc59eda31aee7ed347f9e92cdbca
onion_sample_r_017_v2,onion_sample_r_017,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_017_v2.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_017_v2.txt,674f4efd492d2d4480d77b6e5dcff002b1803b46fdbb0c29c279fef6ef738588
onion_sample_r_017_v3,onion_sample_r_017,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_017_v3.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_017_v3.txt,4eaca3780f84152192b195306fdd6e37176e2a83d843612706125b4e75418bc1
onion_sample_r_017_v4,onion_sample_r_017,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_017_v4.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_017_v4.txt,49f4f928ebd5c7f10bef2bbd3cbdef2d04aba6489bc751aadfde4d2fcd1a0c70
onion_sample_r_021_v1,onion_sample_r_021,test,2,ROTTEN,prepared_copy_only,data/processed/yolo/images/test/onion_sample_r_021_v1.jpeg,data/processed/yolo/labels/test/onion_sample_r_021_v1.txt,0f9977942e7ae9eebc2b074637412010e70e1ff0062d88dcbccff0705011f43c
onion_sample_r_021_v2,onion_sample_r_021,test,2,ROTTEN,prepared_copy_only,data/processed/yolo/images/test/onion_sample_r_021_v2.jpeg,data/processed/yolo/labels/test/onion_sample_r_021_v2.txt,04aab2a4f68e5d9371ad3c2e6bf647c6250fe87f4f535c17310f86e00410ded7
onion_sample_r_021_v3,onion_sample_r_021,test,2,ROTTEN,prepared_copy_only,data/processed/yolo/images/test/onion_sample_r_021_v3.jpeg,data/processed/yolo/labels/test/onion_sample_r_021_v3.txt,9a9619b545a4ad4ada69f98cf5a3a0ba4fd64acf4a7cd0987f9d8f588f300fa9
onion_sample_r_021_v4,onion_sample_r_021,test,2,ROTTEN,prepared_copy_only,data/processed/yolo/images/test/onion_sample_r_021_v4.jpeg,data/processed/yolo/labels/test/onion_sample_r_021_v4.txt,0772f9a24e52dbb034849956a9bd2b1f21fd2134f57815d67db85a1b38d07432
onion_sample_r_023_v1,onion_sample_r_023,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_023_v1.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_023_v1.txt,65d709d30b3e6e4f6ebaad292e465a708d092ddc29a3ca0d495709c75948e936
onion_sample_r_023_v2,onion_sample_r_023,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_023_v2.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_023_v2.txt,a8d4df84e8e43dda39c29cfdef2edf8669237291e12b6f07d3877670e73b4b0e
onion_sample_r_023_v3,onion_sample_r_023,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_023_v3.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_023_v3.txt,8d1bc920c201714d9d764204f8f467158dfa0ae51a7be0a6aa5950a0510fdc22
onion_sample_r_023_v4,onion_sample_r_023,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_023_v4.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_023_v4.txt,e190455825f461fc1ece325e9700a31da08561ac2287e0556e7d099664fe32ae
onion_sample_s_001_v1,onion_sample_s_001,test,3,SPROUTED,raw+pending,data/raw/sprouted/onion_sample_s_001_v1.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_001_v1.txt,e0c00c79a6019ec3a509c0da4aff5306d4cf50ec4d80fd85606624e8fc9341f0
onion_sample_s_001_v2,onion_sample_s_001,test,3,SPROUTED,raw+pending,data/raw/sprouted/onion_sample_s_001_v2.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_001_v2.txt,c1b3d42ed2186655bfb40178d1595eccfa30c22ba7cccb16760455a8d0a03dec
onion_sample_s_001_v3,onion_sample_s_001,test,3,SPROUTED,raw+pending,data/raw/sprouted/onion_sample_s_001_v3.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_001_v3.txt,c9c659cd5548aa3829213cbc021e815ad6cb92528257c5055496340d08d2c6b6
onion_sample_s_001_v4,onion_sample_s_001,test,3,SPROUTED,raw+pending,data/raw/sprouted/onion_sample_s_001_v4.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_001_v4.txt,947b72d73d61567757a55b1d23e6c26abc2a84e231a1ea697646983662177f79
onion_sample_001_v2,onion_sample_001,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_001_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_001_v2.txt,a0d2b9021673bd3a470277a745019c5ee24a16241930476cae1e973f9a506819
onion_sample_001_v3,onion_sample_001,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_001_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_001_v3.txt,b5da54344b0b90e5e4bc705c70acfd343be711c41076b90be03346a0843cf76b
onion_sample_002_v1,onion_sample_002,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_002_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_002_v1.txt,fad2ced925da814c33619d13d62fe6cedd94bf9eb569d40310e57131428e9c3d
onion_sample_002_v2,onion_sample_002,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_002_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_002_v2.txt,4d8364c0ca388a222fd1b20a2b446f17f14b3cc2af7236b0a8e74ccdc6387177
onion_sample_002_v3,onion_sample_002,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_002_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_002_v3.txt,696f495a2cb40bd7b448219e035d2c4b61ec266401947b25b177104d5d4816d3
onion_sample_002_v4,onion_sample_002,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_002_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_002_v4.txt,27d51b6979d8ff46484509d6009c20e574b0f23f64190580eb0e8e18d202d98a
onion_sample_004_v1,onion_sample_004,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_004_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_004_v1.txt,319611384e2b2e98950c2c8ecb7518e2d72b4758f4186f6ccef7dc2134a8983c
onion_sample_004_v2,onion_sample_004,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_004_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_004_v2.txt,db9b2aae6b6d99c260086eea98b3ce568f0fa013eb9c68c0f0f5ab2c4afa2021
onion_sample_004_v3,onion_sample_004,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_004_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_004_v3.txt,02bbf6cd514e5c47600d9e7805efa8fbb7f2b4ff09f3fb509d7fb22ad1918385
onion_sample_004_v4,onion_sample_004,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_004_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_004_v4.txt,fce2a0888242a329a9222a5e5ec5398aecbc3fb9f731b0b8dac3ec0992b1fc0f
onion_sample_005_v1,onion_sample_005,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_005_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_005_v1.txt,a9595b8b08cb4a0221e2b7cc31923bf03f73905618ec9fd4d25882d06347f409
onion_sample_005_v2,onion_sample_005,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_005_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_005_v2.txt,0f4bac2002479ff9d61d0e3128153de3672dfd7d0a9b7d03af87e8f1d3171bfd
onion_sample_005_v3,onion_sample_005,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_005_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_005_v3.txt,9b7a0c6507f3316cf6b485482bd80584e281729c042bb832d557faf897795d23
onion_sample_005_v4,onion_sample_005,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_005_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_005_v4.txt,95e289588184e3bd4cd49412409e5c8ccb4d9a2826e5586ed52254f489e1be60
onion_sample_006_v1,onion_sample_006,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_006_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_006_v1.txt,96317d81fce3b54a30923c21d7de63f899cabc196567b4547d8a91660298aada
onion_sample_006_v2,onion_sample_006,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_006_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_006_v2.txt,81fe061d213f9db1ea0bd765e0296969f4e4741506c868b1cdfbc38a9ec0c6a5
onion_sample_006_v3,onion_sample_006,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_006_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_006_v3.txt,dcf137a06ab85f28426e9d1c945fd3a1dd09d9fbec459eb7dfe76cad9ed5be14
onion_sample_006_v4,onion_sample_006,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_006_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_006_v4.txt,3335d40e925676a8689ce37a866b4614442a7386aeb756d5fd78f3bad86bfd7c
onion_sample_009_v1,onion_sample_009,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_009_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_009_v1.txt,dd2d2d12d0ed05839c201a4d0aa03076c570a947a1215fac3fce341bb8558276
onion_sample_009_v2,onion_sample_009,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_009_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_009_v2.txt,dfb266129bcfb89c2dc5c9d74ffa7a87a0dc971f0a73aa59a5d68e27f31d3748
onion_sample_009_v3,onion_sample_009,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_009_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_009_v3.txt,3af76b268952aa950245f519aac68c64596cf851c90b2f42cf2b58c113433c73
onion_sample_009_v4,onion_sample_009,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_009_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_009_v4.txt,f39606decfd69d535e14dd4799ece17e554ebe0d7587facefd298681f9945f95
onion_sample_010_v2,onion_sample_010,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_010_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_010_v2.txt,5a82c9e914163467091beb67fae13ff9e7f819113b647cb76baf8cdeeade03fe
onion_sample_010_v3,onion_sample_010,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_010_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_010_v3.txt,a3e5539d03c22c88fa4856915b3f4474c8eed3f9f4ff592aaff3f6f76507238f
onion_sample_010_v4,onion_sample_010,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_010_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_010_v4.txt,b221021b85c9ad0b4488ee926174b9363da229c5d11a79ce93867365c1ef59c8
onion_sample_011_v1,onion_sample_011,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_011_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_011_v1.txt,065d54d1641644ec6d7411ee604cd3f16c30eac0cb9e56174280aa5ddce7c04f
onion_sample_011_v2,onion_sample_011,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_011_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_011_v2.txt,0806a1077c5744d2b17ebdc6fe0e32f30e7d627da4230d7bbe8330f5c88a421f
onion_sample_011_v3,onion_sample_011,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_011_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_011_v3.txt,d790b8aa9b4ff8f6189225d437cd46d7326cbe85c0dac7e17dca65d3f121b44b
onion_sample_011_v4,onion_sample_011,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_011_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_011_v4.txt,e15d251093c73656873b6964ca230759eba4cad4dbccc21978297194759798b8
onion_sample_012_v1,onion_sample_012,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_012_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_012_v1.txt,e94872fae1ceb81e89d4b74b15ef3308cced54a55be685b6f1afa2f234f055e5
onion_sample_012_v2,onion_sample_012,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_012_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_012_v2.txt,4a4474102b6238f2ea9467bb96056955d437c85292b971392b99f4a7ee962f94
onion_sample_012_v3,onion_sample_012,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_012_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_012_v3.txt,735802ac21d2af6f56207d6c3faa2798cb021bde8c1bb398f56daf558e2f924d
onion_sample_012_v4,onion_sample_012,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_012_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_012_v4.txt,43281bcb4812ebb065a716d632e1763b9fde14077d13c6be5f9b0ac4f0ec5e37
onion_sample_014_v1,onion_sample_014,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_014_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_014_v1.txt,73ee98725319ba585e94b0b5f59293c0ed26727a24905e6c7827c9a375c4a518
onion_sample_014_v2,onion_sample_014,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_014_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_014_v2.txt,e67e67eea052b74410869cb8112523274ac26262f69593e9faea46c20b587466
onion_sample_014_v3,onion_sample_014,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_014_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_014_v3.txt,bed62b108263ab0721443bd51dba1ec91de490020e1a2d4d34648a16946eeb52
onion_sample_014_v4,onion_sample_014,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_014_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_014_v4.txt,dc6aab775b6b04d37371f0a544ca642ca3f9e8a6e9f10bec6aaabf734aff2617
onion_sample_018_v1,onion_sample_018,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_018_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_018_v1.txt,46a0170c20b5cbe82cc46c044870417033b118d3668111a2c8ffe833736d98bc
onion_sample_018_v2,onion_sample_018,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_018_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_018_v2.txt,bcc709a022699f85c42be3200b662cabfc49c232b9bf68232dc5979f68134e36
onion_sample_018_v3,onion_sample_018,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_018_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_018_v3.txt,3f16a177a62621b506970250f5586ad477c9ddfda81b3ef2712587eb737b3952
onion_sample_018_v4,onion_sample_018,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_018_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_018_v4.txt,5edf0401d129de9f2ac07b7f36068e71b8aa1e831f4c4f9ed6c28f6a73153725
onion_sample_019_v1,onion_sample_019,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_019_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_019_v1.txt,00b38ed619e2460fc5431a40448f82cd7d909b87e3ebc77fb0e87c80f492074f
onion_sample_019_v2,onion_sample_019,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_019_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_019_v2.txt,e0cc452334c8cbbffbfc36e94aeaf1fa88c6eebfd9f8babeebba42ea0d803b02
onion_sample_019_v3,onion_sample_019,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_019_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_019_v3.txt,37adcacd5720fa61b4d14c233a286899ef3de71ee22653ba78b0e050521a46d4
onion_sample_019_v4,onion_sample_019,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_019_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_019_v4.txt,cec39d255fafc1c000954fca9e18ddbbb2de715f46fb18b51b20838f9738713c
onion_sample_020_v1,onion_sample_020,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_020_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_020_v1.txt,7017ccca30162671c0c6f757b93cf2fe77c486fef4178e3eda2314edf529f8ed
onion_sample_020_v2,onion_sample_020,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_020_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_020_v2.txt,5d99be03a749f9f132c7f2abb735dc147a2ca5f03cd39f9d317f9663eb52ef9f
onion_sample_020_v3,onion_sample_020,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_020_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_020_v3.txt,c8e1ccd0feea56be07dd5a09ac58f15080ee776ce34b04fd29b211d6051ec558
onion_sample_020_v4,onion_sample_020,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_020_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_020_v4.txt,2a7d85761fb99456682f214d86b9b67a09c492bf3667084fdea3bb02449d7b73
onion_sample_022_v1,onion_sample_022,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_022_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_022_v1.txt,d76012ae1128da7661a9eff48ade3ef41f9944062043b99c0f983f013d50cdea
onion_sample_022_v2,onion_sample_022,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_022_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_022_v2.txt,86c61e9fefd86b4c0b64a269682fd4b62e53a2ea6e55e6906eab2a9ffb35302c
onion_sample_022_v3,onion_sample_022,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_022_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_022_v3.txt,74f2d2b2abaeee7361f1a6e956d9805e2c83ab40f32732edf30cdab0cc8771ee
onion_sample_022_v4,onion_sample_022,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_022_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_022_v4.txt,d31423a0c602b3da2d22678245f1cb158443b854be71d2413c368194c2e0451f
onion_sample_024_v1,onion_sample_024,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_024_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_024_v1.txt,34f108e283ae1451ba5e8c9b281de91fdc6098c748db3b603bbf5ab9c0071046
onion_sample_024_v2,onion_sample_024,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_024_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_024_v2.txt,e8f639649058df41abbcfc100712e194fa2cc769a06cc0851ea0aa3c42d926bc
onion_sample_024_v3,onion_sample_024,train,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_024_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_024_v3.txt,2ca55b9f8569428469aee04aee3382ba9486fee619a251af3d4c2e3cd2afb901
